,id,x,y,unique_squirrel_id,shift,date,age,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
416,417,-73.9639888092327,40.791449395909,31A-AM-1010-01,AM,10102018,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,False,False,True
417,418,-73.9573604880421,40.7930844158021,35E-PM-1006-03,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
418,419,-73.9777328709928,40.7669087724668,1D-AM-1006-02,AM,10062018,Juvenile,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,False,False
419,420,-73.96718516112429,40.7750878657618,14H-PM-1012-01,PM,10122018,Adult,Gray,Ground Plane,,True,False,False,True,False,,False,False,False,False,False,True,False,False
420,421,-73.9664630067791,40.775636151582496,14H-AM-1007-04,AM,10072018,Juvenile,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,True
421,422,-73.9694630409125,40.769737659647,8I-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
422,423,-73.97567542977471,40.7738518843446,9B-PM-1013-02,PM,10132018,Juvenile,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
423,424,-73.9756557086441,40.773296289823996,8B-PM-1012-08,PM,10122018,Adult,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
424,425,-73.9704485231855,40.7717290560806,9G-AM-1007-02,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True
425,426,-73.9741944367138,40.7769889953596,13B-PM-1008-01,PM,10082018,Adult,Gray,Above Ground,on railing,True,False,False,False,False,,False,False,False,False,False,False,True,False
426,427,-73.9589367709165,40.78964653034829,31F-PM-1007-04,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,True,False,False,False,True
427,428,-73.96362827608,40.780799459524204,21G-AM-1014-02,AM,10142018,Adult,Gray,Above Ground,fence,False,False,True,False,False,,False,False,False,False,False,False,True,False
428,429,-73.96947840566179,40.7787735291442,16D-PM-1010-01,PM,10102018,Adult,Gray,Ground Plane,,True,False,False,True,True,,False,False,False,False,False,False,True,False
429,430,-73.9710116801402,40.7723689301989,10G-PM-1017-08,PM,10172018,Adult,Black,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
430,431,-73.97574360194321,40.774606436322706,10B-PM-1014-01,PM,10142018,Adult,Gray,Ground Plane,on lawn in front of a tree,False,False,False,False,True,,False,False,False,False,True,False,False,False
431,432,-73.9757787135906,40.7737231427345,9B-PM-1013-03,PM,10132018,Juvenile,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
432,433,-73.9558474701153,40.7913335515534,34H-AM-1007-01,AM,10072018,Adult,Gray,Above Ground,tree,False,False,False,False,False,,True,True,False,False,False,False,False,False
433,434,-73.96766397404859,40.7745369616499,13H-PM-1010-07,PM,10102018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
434,435,-73.9702963056917,40.7697928730791,7H-AM-1006-11,AM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,False
435,436,-73.9734695768004,40.7716297491384,8E-PM-1008-05,PM,10082018,Adult,Gray,Ground Plane,"5, 6, 7 all at same tree trunk base",False,False,False,True,True,,False,False,False,False,False,False,False,False
436,437,-73.9793952066038,40.7707837657859,4A-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,by rock,False,False,False,True,True,,False,False,False,False,False,False,True,False
437,438,-73.95257475169142,40.7977257435263,42F-PM-1017-02,PM,10172018,Adult,Gray,Ground Plane,,True,False,False,False,False,playing,False,False,False,False,False,False,True,False
438,439,-73.9589770206691,40.791240542172,33E-AM-1014-05,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
439,440,-73.9642717435966,40.782087049693,22F-AM-1007-05,AM,10072018,Adult,Gray,Above Ground,tree,False,False,True,False,False,,False,False,False,False,False,False,True,False
440,441,-73.9742973420446,40.7691801644292,5F-AM-1007-04,AM,10072018,Adult,Gray,Above Ground,rocks,False,False,False,True,True,,False,False,False,False,False,False,False,False
441,442,-73.9502466289084,40.795922877988296,41I-AM-1018-02,AM,10182018,Juvenile,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
442,443,-73.9720887275538,40.776079953797606,13D-PM-1018-08,PM,10182018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
443,444,-73.96414623605409,40.7778316005464,18I-PM-1007-09,PM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,canoodling w/ 8,False,False,False,False,False,False,True,False
444,445,-73.97140573271591,40.7720375135272,9F-PM-1014-04,PM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
445,446,-73.9678774314725,40.7738535171265,12H-PM-1007-04,PM,10072018,,Gray,,,False,False,False,True,False,mushroom,False,False,False,False,False,False,True,False
446,447,-73.97259060164741,40.7713889729739,8F-PM-1012-05,PM,10122018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,False,False
